date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:53	161440/161440	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:53%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/tv-box.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/tv-box.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:54	161494/161494	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:55%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/tv-audio.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/tv-audio.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:56	161464/161464	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:56%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/tablets.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/tablets.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:57	161536/161536	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:58%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/sport-watches.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/sport-watches.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:59	161506/161506	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:59%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/robot-clean.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/robot-clean.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:48:00	161506/161506	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:18:00%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/power-tools.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/power-tools.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:48:02	161500/161500	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:18:02%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/headphones.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/headphones.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:48:04	292360/292360	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:18:04%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/popular-categories/tv-audio.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/popular-categories/tv-audio.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:48:05	292012/292012	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:18:05%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/popular-categories/tv-box.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/popular-categories/tv-box.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:48:07	274754/274754	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:18:07%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/popular-categories/power-tools.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/popular-categories/power-tools.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
